Country Name,Country Code,Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United Kingdom,GBR,Europe & Central Asia,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779
Georgia,GEO,Europe & Central Asia,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4487200
Ghana,GHA,Sub-Saharan Africa,20840493,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432
Guinea,GIN,Sub-Saharan Africa,9464771,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726
"Gambia, The",GMB,Sub-Saharan Africa,1394727,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878
Guinea-Bissau,GNB,Sub-Saharan Africa,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138
Greece,GRC,Europe & Central Asia,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11027549
Guatemala,GTM,Latin America & Caribbean,12877711,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793
Guyana,GUY,Latin America & Caribbean,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033
Honduras,HND,Latin America & Caribbean,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059
Croatia,HRV,Europe & Central Asia,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255700
Haiti,HTI,Latin America & Caribbean,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249
Hungary,HUN,Europe & Central Asia,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082
Indonesia,IDN,East Asia & Pacific,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276
India,IND,South Asia,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874
Ireland,IRL,Europe & Central Asia,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294
"Iran, Islamic Rep.",IRN,Middle East & North Africa,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445
Israel,ISR,Middle East & North Africa,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500
Italy,ITA,Europe & Central Asia,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948
Jamaica,JAM,Latin America & Caribbean,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734
Jordan,JOR,Middle East & North Africa,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000
Japan,JPN,East Asia & Pacific,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621
Kazakhstan,KAZ,Europe & Central Asia,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275
Kenya,KEN,Sub-Saharan Africa,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881
Kyrgyz Republic,KGZ,Europe & Central Asia,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600
Cambodia,KHM,East Asia & Pacific,13112334,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564
Kiribati,KIR,East Asia & Pacific,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544
"Korea, Rep.",KOR,East Asia & Pacific,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669
Kuwait,KWT,Middle East & North Africa,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689
Lao PDR,LAO,East Asia & Pacific,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985
Lebanon,LBN,Middle East & North Africa,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4388637,4440728,4493438
Liberia,LBR,Sub-Saharan Africa,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692
Libya,LBY,Middle East & North Africa,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987
St. Lucia,LCA,Latin America & Caribbean,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305
Sri Lanka,LKA,South Asia,19435000,19644000,19858000,20039000,20246000,20450000,20653000,20869000,20328000,20483000
Lesotho,LSO,Sub-Saharan Africa,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061
Luxembourg,LUX,Europe & Central Asia,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360
Latvia,LVA,Europe & Central Asia,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647
Morocco,MAR,Middle East & North Africa,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686
Moldova,MDA,Europe & Central Asia,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566
Madagascar,MDG,Sub-Saharan Africa,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557
Maldives,MDV,South Asia,299917,304968,310168,315515,321026,326713,332575,338618,344817,351111
Mexico,MEX,Latin America & Caribbean,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109
Mali,MLI,Sub-Saharan Africa,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097
Myanmar,MMR,East Asia & Pacific,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829
Mongolia,MNG,East Asia & Pacific,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174
Mozambique,MOZ,Sub-Saharan Africa,20523159,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180
Mauritania,MRT,Sub-Saharan Africa,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684
Mauritius,MUS,Sub-Saharan Africa,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653
Malawi,MWI,Sub-Saharan Africa,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126
Malaysia,MYS,East Asia & Pacific,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372
Namibia,NAM,Sub-Saharan Africa,2002745,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592
Niger,NER,Sub-Saharan Africa,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863
Nigeria,NGA,Sub-Saharan Africa,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517
Nicaragua,NIC,Latin America & Caribbean,5309703,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646
Netherlands,NLD,Europe & Central Asia,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432
Norway,NOR,Europe & Central Asia,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623
Nepal,NPL,South Asia,25198130,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981
New Zealand,NZL,East Asia & Pacific,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100
Oman,OMN,Middle East & North Africa,2448194,2506891,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912
Pakistan,PAK,South Asia,150267989,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646
Panama,PAN,Latin America & Caribbean,3260611,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683
Peru,PER,Latin America & Caribbean,27273188,27610406,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461
Philippines,PHL,East Asia & Pacific,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676
Papua New Guinea,PNG,East Asia & Pacific,5940048,6086905,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864
Poland,POL,Europe & Central Asia,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196
Portugal,PRT,Europe & Central Asia,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295
Paraguay,PRY,Latin America & Caribbean,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669
Qatar,QAT,Middle East & North Africa,732096,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288
Romania,ROU,Europe & Central Asia,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693
Russian Federation,RUS,Europe & Central Asia,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911
Rwanda,RWA,Sub-Saharan Africa,8828956,9008230,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095
Saudi Arabia,SAU,Middle East & North Africa,24055573,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051
Senegal,SEN,Sub-Saharan Africa,10967016,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041
Singapore,SGP,East Asia & Pacific,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200
Solomon Islands,SLB,East Asia & Pacific,457841,469306,480716,492075,503410,514767,526177,537648,549162,560685
Sierra Leone,SLE,Sub-Saharan Africa,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859
El Salvador,SLV,Latin America & Caribbean,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644
Suriname,SUR,Latin America & Caribbean,489312,491999,495953,500953,506657,512522,518141,523439,528535,533450
