Country Name,Country Code,Region ,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombia,COL,Latin America & Caribbean,"Population, total",SP.POP.TOTL,42152147,42724157,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363
Comoros,COM,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,589500,603869,618632,633814,649404,665414,681845,698695,715972,733661,751697
Cabo Verde,CPV,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,462675,468985,474224,478265,481278,483824,486673,490379,495159,500870,507258
Costa Rica,CRI,Latin America & Caribbean,"Population, total",SP.POP.TOTL,4125970,4187039,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433
Cuba,CUB,Latin America & Caribbean,"Population, total",SP.POP.TOTL,11214837,11240680,11261052,11275199,11284043,11290239,11297442,11308133,11323570,11342631,11362505
Curacao,CUW,,"Population, total",SP.POP.TOTL,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153821
Cayman Islands,CYM,Latin America & Caribbean,"Population, total",SP.POP.TOTL,46032,47299,48623,50028,51480,52925,54285,55509,56580,57522,58369
Cyprus,CYP,Europe & Central Asia,"Population, total",SP.POP.TOTL,998150,1015827,1032586,1048293,1063040,1077010,1090486,1103685,1116644,1129303,1141652
Czech Republic,CZE,Europe & Central Asia,"Population, total",SP.POP.TOTL,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272
Germany,DEU,Europe & Central Asia,"Population, total",SP.POP.TOTL,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80645605
Djibouti,DJI,Middle East & North Africa,"Population, total",SP.POP.TOTL,756656,767644,778406,788941,799309,809639,820097,830802,841802,853069,864554
Dominica,DMA,Latin America & Caribbean,"Population, total",SP.POP.TOTL,70058,70325,70542,70690,70795,70881,70995,71167,71402,71685,72005
Denmark,DNK,Europe & Central Asia,"Population, total",SP.POP.TOTL,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932
Dominican Republic,DOM,Latin America & Caribbean,"Population, total",SP.POP.TOTL,8967759,9102997,9237565,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408
Algeria,DZA,Middle East & North Africa,"Population, total",SP.POP.TOTL,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135
Ecuador,ECU,Latin America & Caribbean,"Population, total",SP.POP.TOTL,13289600,13509645,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312
"Egypt, Arab Rep.",EGY,Middle East & North Africa,"Population, total",SP.POP.TOTL,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909
Eritrea,ERI,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,3928408,4064958,4191273,4304440,4406299,4500638,4593549,4689664,4789568,4892233,4998824
Spain,ESP,Europe & Central Asia,"Population, total",SP.POP.TOTL,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045
Estonia,EST,Europe & Central Asia,"Population, total",SP.POP.TOTL,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997
Ethiopia,ETH,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,72432290,74506974,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374
Finland,FIN,Europe & Central Asia,"Population, total",SP.POP.TOTL,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972
Fiji,FJI,East Asia & Pacific,"Population, total",SP.POP.TOTL,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487
France,FRA,Europe & Central Asia,"Population, total",SP.POP.TOTL,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498
Faeroe Islands,FRO,Europe & Central Asia,"Population, total",SP.POP.TOTL,47812,48103,48337,48505,48599,48629,48613,48567,48492,48393,48292
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,"Population, total",SP.POP.TOTL,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516,103718
Gabon,GAB,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1318093,1347524,1377777,1408920,1440902,1473741,1507428,1541936,1577298,1613489,1650351
United Kingdom,GBR,Europe & Central Asia,"Population, total",SP.POP.TOTL,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779
Georgia,GEO,Europe & Central Asia,"Population, total",SP.POP.TOTL,4328900,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4487200
Ghana,GHA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,20305396,20840493,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432
Guinea,GIN,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,9281572,9464771,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726
"Gambia, The",GMB,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1350345,1394727,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878
Guinea-Bissau,GNB,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1401716,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138
Equatorial Guinea,GNQ,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729,797082
Greece,GRC,Europe & Central Asia,"Population, total",SP.POP.TOTL,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11027549
Grenada,GRD,Latin America & Caribbean,"Population, total",SP.POP.TOTL,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476,105902
Greenland,GRL,Europe & Central Asia,"Population, total",SP.POP.TOTL,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483
Guatemala,GTM,Latin America & Caribbean,"Population, total",SP.POP.TOTL,12573346,12877711,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793
Guam,GUM,East Asia & Pacific,"Population, total",SP.POP.TOTL,157823,158194,158401,158429,158332,158310,158621,159440,160858,162807,165121
Guyana,GUY,Latin America & Caribbean,"Population, total",SP.POP.TOTL,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033
"Hong Kong SAR, China",HKG,East Asia & Pacific,"Population, total",SP.POP.TOTL,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500
Honduras,HND,Latin America & Caribbean,"Population, total",SP.POP.TOTL,6626304,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059
Croatia,HRV,Europe & Central Asia,"Population, total",SP.POP.TOTL,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255700
Haiti,HTI,Latin America & Caribbean,"Population, total",SP.POP.TOTL,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249
Hungary,HUN,Europe & Central Asia,"Population, total",SP.POP.TOTL,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082
Indonesia,IDN,East Asia & Pacific,"Population, total",SP.POP.TOTL,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276
Isle of Man,IMN,Europe & Central Asia,"Population, total",SP.POP.TOTL,78975,79636,80345,81110,81914,82737,83548,84327,85069,85779,86462
India,IND,South Asia,"Population, total",SP.POP.TOTL,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874
Ireland,IRL,Europe & Central Asia,"Population, total",SP.POP.TOTL,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294
"Iran, Islamic Rep.",IRN,Middle East & North Africa,"Population, total",SP.POP.TOTL,68522074,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445
Iraq,IRQ,Middle East & North Africa,"Population, total",SP.POP.TOTL,25630426,26320530,27017712,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385
Iceland,ISL,Europe & Central Asia,"Population, total",SP.POP.TOTL,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764
Israel,ISR,Middle East & North Africa,"Population, total",SP.POP.TOTL,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500
Italy,ITA,Europe & Central Asia,"Population, total",SP.POP.TOTL,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948
Jamaica,JAM,Latin America & Caribbean,"Population, total",SP.POP.TOTL,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734
Jordan,JOR,Middle East & North Africa,"Population, total",SP.POP.TOTL,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000
Japan,JPN,East Asia & Pacific,"Population, total",SP.POP.TOTL,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621
Kazakhstan,KAZ,Europe & Central Asia,"Population, total",SP.POP.TOTL,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275
Kenya,KEN,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,33551079,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881
Kyrgyz Republic,KGZ,Europe & Central Asia,"Population, total",SP.POP.TOTL,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600
Cambodia,KHM,East Asia & Pacific,"Population, total",SP.POP.TOTL,12901217,13112334,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564
