Country Name,Country Code,Region ,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
South Sudan,SSD,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,7499695,7784488,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810
Sao Tome and Principe,STP,,"Population, total",SP.POP.TOTL,146357,149732,153146,156584,160064,163595,167196,170880,174646,178484,182386
Suriname,SUR,Latin America & Caribbean,"Population, total",SP.POP.TOTL,487641,489312,491999,495953,500953,506657,512522,518141,523439,528535,533450
Slovak Republic,SVK,Europe & Central Asia,"Population, total",SP.POP.TOTL,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393
Slovenia,SVN,Europe & Central Asia,"Population, total",SP.POP.TOTL,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953
Sweden,SWE,Europe & Central Asia,"Population, total",SP.POP.TOTL,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379
Swaziland,SWZ,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1087949,1094775,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,"Population, total",SP.POP.TOTL,33790,35316,36934,38270,39462,40458,39133,35474,33435,34640,36607
Seychelles,SYC,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303,89900
Syrian Arab Republic,SYR,Middle East & North Africa,"Population, total",SP.POP.TOTL,17304339,17671913,18132842,18728200,19425597,20097057,20566871,20720602,21070917,21427155,21789415
Turks and Caicos Islands,TCA,Latin America & Caribbean,"Population, total",SP.POP.TOTL,23412,25025,26450,27642,28638,29481,30247,30993,31727,32430,33103
Chad,TCD,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,9353516,9710498,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788
Togo,TGO,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,5283246,5428552,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719
Thailand,THA,East Asia & Pacific,"Population, total",SP.POP.TOTL,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422
Tajikistan,TJK,Europe & Central Asia,"Population, total",SP.POP.TOTL,6532871,6666628,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894
Turkmenistan,TKM,Europe & Central Asia,"Population, total",SP.POP.TOTL,4648036,4696876,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088
Timor-Leste,TLS,East Asia & Pacific,"Population, total",SP.POP.TOTL,929431,962634,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069
Tonga,TON,East Asia & Pacific,"Population, total",SP.POP.TOTL,99606,100226,100858,101507,102169,102816,103416,103947,104392,104769,105139
Trinidad and Tobago,TTO,Latin America & Caribbean,"Population, total",SP.POP.TOTL,1284052,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240
Tunisia,TUN,Middle East & North Africa,"Population, total",SP.POP.TOTL,9839800,9932400,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500
Turkey,TUR,Europe & Central Asia,"Population, total",SP.POP.TOTL,66060121,66973561,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202
Tuvalu,TUV,East Asia & Pacific,"Population, total",SP.POP.TOTL,9590,9646,9694,9732,9764,9788,9808,9827,9844,9860,9876
"Taiwan, China",TWN,East Asia & Pacific,"Population, total",SP.POP.TOTL,,,,,,,,,,,
Tanzania,TZA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,36866228,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457
Uganda,UGA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,26217760,27114742,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387
Ukraine,UKR,Europe & Central Asia,"Population, total",SP.POP.TOTL,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600
Uruguay,URY,Latin America & Caribbean,"Population, total",SP.POP.TOTL,3325637,3324096,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969
United States,USA,North America,"Population, total",SP.POP.TOTL,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531
Uzbekistan,UZB,Europe & Central Asia,"Population, total",SP.POP.TOTL,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,"Population, total",SP.POP.TOTL,108354,108563,108749,108908,109049,109165,109255,109316,109341,109334,109327
"Venezuela, RB",VEN,Latin America & Caribbean,"Population, total",SP.POP.TOTL,25857553,26314483,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045
Virgin Islands (U.S.),VIR,Latin America & Caribbean,"Population, total",SP.POP.TOTL,108085,107950,107863,107700,107423,107091,106707,106267,105784,105275,104737
Vietnam,VNM,East Asia & Pacific,"Population, total",SP.POP.TOTL,80467400,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900,89708900
Vanuatu,VUT,East Asia & Pacific,"Population, total",SP.POP.TOTL,198963,204144,209375,214635,219956,225335,230782,236299,241876,247498,253165
West Bank and Gaza,PSE,Middle East & North Africa,"Population, total",SP.POP.TOTL,3154969,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506
Samoa,WSM,East Asia & Pacific,"Population, total",SP.POP.TOTL,177677,178794,179928,181072,182238,183440,184700,186029,187434,188901,190390
"Yemen, Rep.",YEM,Middle East & North Africa,"Population, total",SP.POP.TOTL,19374012,19931617,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217
South Africa,ZAF,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,46127031,46727694,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,52602208,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861
Zambia,ZMB,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,11426006,11725635,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086
Zimbabwe,ZWE,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,12774162,12867828,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092
