Country Name,Country Code,Region ,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,CAN,North America,Adjusted net national income per capita (current US$),22832.11148,25942.07004,29559.95281,32803.91151,36272.00856,37735.73791,32883.99029,38427.36803,42189.913,42696.49321,42650.04721
Switzerland,CHE,Europe & Central Asia,Adjusted net national income per capita (current US$),40888.729,45380.38658,47905.92573,49973.52253,50935.75482,52730.12834,56265.65474,63531.5183,71212.45819,68125.90071,69068.37246
Channel Islands,CHI,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,Latin America & Caribbean,Adjusted net national income per capita (current US$),3698.064182,4492.859799,5427.995209,6019.400536,6792.520614,7466.005714,7436.745192,9146.420113,10600.76343,11471.48641,11982.73436
China,CHN,East Asia & Pacific,Adjusted net national income per capita (current US$),1070.107746,1229.487155,1408.843621,1678.538606,2131.699665,2652.383066,3012.455861,3459.181815,4124.14412,4770.882242,5262.94989
Cote d'Ivoire,CIV,,Adjusted net national income per capita (current US$),699.5197278,772.1874793,829.049092,825.9184091,940.0674846,1091.057833,1093.541837,1090.910152,1060.864682,1112.072949,1266.855009
Cameroon,CMR,Sub-Saharan Africa,Adjusted net national income per capita (current US$),731.2927252,852.3159565,833.8387022,870.196911,961.1330708,1080.391857,1109.964379,1059.839636,1143.262807,1090.873151,1183.829422
"Congo, Rep.",COG,Sub-Saharan Africa,Adjusted net national income per capita (current US$),332.1791994,247.9608872,130.9167474,76.77016137,325.9841449,483.4634387,583.8814766,492.1510107,349.5246288,514.5000084,831.4371519
Colombia,COL,Latin America & Caribbean,Adjusted net national income per capita (current US$),1833.468725,2226.045738,2704.342669,2950.936244,3740.116319,4267.188126,4172.011898,5024.446509,5622.306479,6268.804132,6466.229975
Comoros,COM,Sub-Saharan Africa,Adjusted net national income per capita (current US$),828.8725968,937.6529232,946.9018743,985.8955357,1098.870695,1228.953999,1181.28912,1172.448109,1304.130057,1275.855694,1380.14183
Cabo Verde,CPV,Sub-Saharan Africa,Adjusted net national income per capita (current US$),1482.536904,1658.675321,1658.037784,1838.099691,2548.167981,2932.54624,2739.14465,2554.300743,2842.572186,2584.111428,2626.864389
Costa Rica,CRI,Latin America & Caribbean,Adjusted net national income per capita (current US$),3661.633476,3902.471417,4161.112684,4682.672591,5501.072788,6274.426882,6074.464421,7299.732559,8186.236725,8946.415327,9412.029394
Cuba,CUB,Latin America & Caribbean,Adjusted net national income per capita (current US$),2754.790625,2906.686772,3245.73596,4020.477669,4338.674714,4565.675604,4672.838251,4815.756776,5172.233314,5495.624094,5812.226107
Curacao,CUW,,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,Latin America & Caribbean,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,Europe & Central Asia,Adjusted net national income per capita (current US$),17070.37825,19689.5323,20800.56608,22245.88498,25818.09571,30704.899,26832.79425,26205.3584,28305.13341,24474.9993,23132.88284
Czech Republic,CZE,Europe & Central Asia,Adjusted net national income per capita (current US$),7290.51903,8608.906607,9979.214321,11196.94838,13503.48744,16506.56674,14036.10678,14047.23332,15388.47238,14256.00686,14326.04027
Germany,DEU,Europe & Central Asia,Adjusted net national income per capita (current US$),24843.92577,28588.36368,29096.59256,30860.69576,35350.97743,38244.2922,34924.45517,35069.50969,39671.91268,37241.18439,39257.73989
Djibouti,DJI,Middle East & North Africa,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,1184.679643
Dominica,DMA,Latin America & Caribbean,Adjusted net national income per capita (current US$),4196.46471,4389.756434,4367.848268,4868.134414,5166.995416,5638.079034,5939.241411,6024.604417,5881.839029,5495.586887,5521.798649
Denmark,DNK,Europe & Central Asia,Adjusted net national income per capita (current US$),32848.67474,38091.59747,40328.31992,43125.95105,47963.95498,52148.73368,47491.41352,47972.22347,51243.68428,48824.98488,51808.66797
Dominican Republic,DOM,Latin America & Caribbean,Adjusted net national income per capita (current US$),2097.337712,2154.124979,3551.606716,3695.119942,4175.26562,4677.230778,4662.709695,5124.048861,5391.451828,5578.791898,5591.836333
Algeria,DZA,Middle East & North Africa,Adjusted net national income per capita (current US$),1540.930006,1885.389668,2060.283856,2275.835831,2761.031849,3441.991222,2927.644462,3407.251171,3963.324724,4050.21111,4036.033684
Ecuador,ECU,Latin America & Caribbean,Adjusted net national income per capita (current US$),1936.464881,2059.025339,2234.727498,2441.617319,2659.710853,3214.018207,3408.036821,3667.011472,4077.554469,4496.325158,4845.742869
