Country Name,Country Code,Indicator Name,Region ,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,76.6424878,76.83931707,77.03268293,77.22460976,77.41609756,77.60619512,77.79787805,77.98865854,78.18102439,78.37346341,78.56643902
Bhutan,BTN,"Life expectancy at birth, total (years)",South Asia,SP.DYN.LE00.IN,62.55412195,63.3005122,64.02641463,64.71831707,65.36573171,65.96268293,66.50768293,67.00468293,67.46073171,67.88926829,68.30231707
Botswana,BWA,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,47.7454878,47.15543902,46.72695122,46.44797561,46.29609756,46.25036585,46.30026829,46.44029268,46.66895122,46.99070732,47.40560976
Central African Republic,CAF,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,44.22390244,44.56782927,44.99592683,45.50819512,46.0912439,46.72912195,47.40492683,48.09873171,48.79304878,49.47539024,50.13680488
Canada,CAN,"Life expectancy at birth, total (years)",North America,SP.DYN.LE00.IN,79.83902439,80.14146341,80.29268293,80.64390244,80.36987805,80.54321951,80.71709756,80.8934878,81.06831707,81.23804878,81.40112195
Switzerland,CHE,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.74878049
Channel Islands,CHI,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.32314634,78.58843902,78.84312195,79.08021951,79.29726829,79.49482927,79.67139024,79.8314878,79.97863415,80.11982927,80.25953659
Chile,CHL,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,77.73792683,77.95980488,78.13721951,78.2897561,78.44297561,78.61741463,78.81858537,79.05046341,79.3065122,79.57265854,79.83680488
China,CHN,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,73.46509756,73.79370732,74.05390244,74.25631707,74.42407317,74.57982927,74.73163415,74.88502439,75.042,75.1995122,75.35302439
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",,SP.DYN.LE00.IN,46.46295122,46.791,47.23229268,47.74265854,48.27370732,48.78663415,49.25682927,49.67529268,50.04756098,50.40173171,50.75741463
Cameroon,CMR,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,51.63904878,51.7164878,51.88904878,52.1502439,52.47914634,52.85582927,53.26485366,53.69482927,54.13736585,54.5875122,55.04180488
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,53.04880488,53.49965854,54.03329268,54.63426829,55.27617073,55.93404878,56.5844878,57.20402439,57.77521951,58.29656098,58.77
Colombia,COL,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,71.771,72.01860976,72.26060976,72.49558537,72.72304878,72.94353659,73.15807317,73.36768293,73.57385366,73.77707317,73.97882927
Comoros,COM,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,58.58314634,58.81804878,59.05239024,59.28604878,59.519,59.74970732,59.97817073,60.20341463,60.4254878,60.644,60.8574878
Cabo Verde,CPV,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,70.96826829,71.42260976,71.86658537,72.29609756,72.71063415,73.10963415,73.49158537,73.85697561,74.20682927,74.54373171,74.87068293
Costa Rica,CRI,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,78.18239024,78.31417073,78.44602439,78.5845122,78.73465854,78.9004878,79.0825122,79.27970732,79.48956098,79.70502439,79.921
Cuba,CUB,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,77.27768293,77.49014634,77.70690244,77.92509756,78.13743902,78.34104878,78.534,78.71778049,78.89382927,79.06702439,79.23926829
Curacao,CUW,"Life expectancy at birth, total (years)",,SP.DYN.LE00.IN,,,,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,,
Cayman Islands,CYM,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,,,,,,,,,,,
Cyprus,CYP,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.35304878,78.47634146,78.60119512,78.72914634,78.86373171,79.00495122,79.15382927,79.30982927,79.47195122,79.63712195,79.80431707
Czech Republic,CZE,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.27804878
Germany,DEU,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.74146341,80.89268293,81.04390244
Djibouti,DJI,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,57.41121951,57.66363415,57.98129268,58.36417073,58.80034146,59.27587805,59.77731707,60.29119512,60.80307317,61.30397561,61.78695122
Dominica,DMA,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,,,,,,,,,,,
Denmark,DNK,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.30243902
Dominican Republic,DOM,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,71.26085366,71.47507317,71.69141463,71.90934146,72.12931707,72.34978049,72.57121951,72.79214634,73.01304878,73.23297561,73.45095122
Algeria,DZA,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,69.4862439,69.66387805,69.83860976,70.00836585,70.17104878,70.32707317,70.47492683,70.61660976,70.75168293,70.88217073,71.00965854
Ecuador,ECU,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,74.239,74.44714634,74.629,74.80004878,74.97873171,75.1765122,75.39934146,75.64770732,75.91660976,76.19256098,76.46507317
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,69.1074878,69.26382927,69.43114634,69.61390244,69.80856098,70.01360976,70.22802439,70.45082927,70.67856098,70.9072439,71.13292683
Eritrea,ERI,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,57.62843902,58.12819512,58.62678049,59.1292439,59.63621951,60.1472439,60.66336585,61.18509756,61.71092683,62.23478049,62.75463415
Spain,ESP,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,82.42682927
Estonia,EST,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,76.42439024
